MARCA;CODIGO;DESCRIPCION;CANTIDAD;MINIMO;UBICACIÓN;SERIAL;PRECIO_COSTO;PRECIO_DIST;PRECIO_INT;PRECIO_GENERAL;IMAGEN;;;;;;;;;;;;
ABB;1SDA066809R1;ABB - Interruptor caja moldeada 112..160A 3P Serie XT1;;;;;77.01;115.51;134.76;154.02;;;;;;;;;;;;;
ABB;1SDA066806R1;ABB - Interruptor caja moldeada 56..80A 3P Serie XT1;;;;;39.26;58.89;68.70;78.52;;;;;;;;;;;;;
ABB;1SDA066807R1;ABB - Interruptor caja moldeada 70..100A 3P Serie XT1;;;;;38.68;58.02;67.69;77.36;;;;;;;;;;;;;
ABB;1SDA067058R1;ABB - Interruptor caja moldeada 160A 3P Serie XT2;;;;;130.53;195.80;228.43;261.06;;;;;;;;;;;;;
ABB;1SDA068058R1;ABB - Interruptor caja moldeada 200A 3P Serie XT3N;;;;;125.60;188.40;219.80;251.20;;;;;;;;;;;;;
ABB;1SDA062102R1;ABB - Contacto auxiliar 2CO 400VAC Serie T7-T7M;;;;;48.98;73.47;85.71;97.96;;;;;;;;;;;;;
ABB;1SCA022353R4970;ABB - Contacto auxiliar 1NO para OTM Serie OA1G10;;;;;6.16;9.24;10.78;12.32;;;;;;;;;;;;;
ABB;1SCA022436R7910;ABB - Contacto auxiliar 1NO para OTM Serie OA1G10;;;;;5.89;8.84;10.31;11.78;;;;;;;;;;;;;
ABB;1SDA062101R1;ABB - Contacto auxiliar 2CO 24VDC Serie T7-T7M;;;;;50.76;76.14;88.83;101.52;;;;;;;;;;;;;
ABB;1SDA038323R1;ABB - Motor 100..130VAC/DC Serie E.1-T8;;;;;799.11;1198.66;1398.44;1598.22;;;;;;;;;;;;;
ABB;1SAM201906R1115;ABB - Puente para guardamotor Serie MS116-MS132;;;;;11.59;17.38;20.28;23.18;;;;;;;;;;;;;
ABB;1SDA065971R1;ABB - Contacto auxiliar 4CO Serie T8;;;;;119.27;178.90;208.72;238.54;;;;;;;;;;;;;
ABB;1SDA067151R1;ABB - Kit de terminales 1x1.5..70mm2 Serie XT1;;;;;14.96;22.44;26.18;29.92;;;;;;;;;;;;;
ABB;1SDA066584R1;ABB - Kit de terminales 1x35..150mm2 Serie XT3 (6pcs);;;;;65.54;98.31;114.69;131.08;;;;;;;;;;;;;
ABB;1SDA013956R1;ABB - Kit de terminales 3x185mm2 Serie T6 (6pcs);;;;;139.35;209.03;243.86;278.70;;;;;;;;;;;;;
ABB;1SDA067422R1;ABB - Interruptor caja moldeada 44..63A 4P Serie XT1;;;;;98.43;147.64;172.25;196.86;;;;;;;;;;;;;
ABB;1SDA052046R1;ABB - Kit de terminales 2x240mm2 Serie T6;;;;;111.91;167.86;195.84;223.82;;;;;;;;;;;;;
ABB;1SDA066875R1;ABB - Kit de terminales extendidos Serie XT3;;;;;20.34;30.51;35.59;40.68;;;;;;;;;;;;;
ABB;1SDA067157R1;ABB - Kit de terminales 1x35..95mm2 Serie XT1;;;;;32.74;49.11;57.30;65.48;;;;;;;;;;;;;
ABB;1SBL367001R1300;ABB - Contactor 53A 120V 0NO-0NC Serie AF52-30;;;;;72.76;109.14;127.33;145.52;;;;;;;;;;;;;
ABB;1SFN084413R1000;ABB - Puente para contactor Serie AF;;;;;79.61;119.41;139.31;159.22;;;;;;;;;;;;;
ABB;1SDA054929R1;ABB - Mando rotatorio para Serie T4-T5;;;;;71.66;107.49;125.40;143.32;;;;;;;;;;;;;
ABB;1SDA069055R1;ABB - Mando rotatorio para Serie XT2-XT4;;;;;29.77;44.65;52.09;59.54;;;;;;;;;;;;;
ABB;1SDA054316R1;ABB - Interruptor caja moldeada 320A 3P Serie T5N;;;;;372.57;558.85;651.99;745.14;;;;;;;;;;;;;
ABB;1SDA061653R1;ABB - Interruptor caja moldeada 600A 3P UL Serie T6N;;;;;883.02;1324.53;1545.29;1766.04;;;;;;;;;;;;;
ABB;1SDA046578R1;ABB - Kit de terminales H/V traseros Serie T8;;;;;400.78;601.17;701.36;801.56;;;;;;;;;;;;;
ABB;1SDA063160R1;ABB - Marco de puerta para interruptor Serie T7-T7M;;;;;41.28;61.92;72.24;82.56;;;;;;;;;;;;;
ABB;1SDA073864R1;ABB - Marco de puerta para interruptor Serie E.2..E6.2;;;;;7.19;10.78;12.58;14.38;;;;;;;;;;;;;
ABB;1SDA063018R1;ABB - Interruptor caja moldeada 1600A 4P Serie T7S;;;;;2543.20;3814.80;4450.60;5086.40;;;;;;;;;;;;;
ABB;1SDA068221R1;ABB - Interruptor caja moldeada 175..250A 3P Serie XT3S;;;;;196.01;294.02;343.02;392.02;;;;;;;;;;;;;
ABB;1SDA055010R1;ABB - Kit de terminales frontales Serie T5;;;;;37.43;56.15;65.50;74.86;;;;;;;;;;;;;
ABB;1SDA066939R1;ABB - Kit de terminales traseros Serie XT1 (6pcs);;;;;22.23;33.34;38.90;44.46;;;;;;;;;;;;;
ABB;1SDA055014R1;ABB - Kit de terminales 1x240mm2 Serie T5;;;;;73.95;110.92;129.41;147.90;;;;;;;;;;;;;
ABB;1SDA066655R1;ABB - Cubre bornes bajos 3P Serie XT1;;;;;3.02;4.53;5.30;6.04;;;;;;;;;;;;;
ABB;1SDA066947R1;ABB - Kit de terminales traseros Serie XT3;;;;;32.99;49.48;57.73;65.98;;;;;;;;;;;;;
ABB;1SDA054986R1;ABB - Kit de terminales 1x185mm2 Serie T4;;;;;68.50;102.75;119.88;137.00;;;;;;;;;;;;;
ABB;1SDA063101R1;ABB - Kit de terminales frontales Serie T7-T7M;;;;;45.04;67.56;78.82;90.08;;;;;;;;;;;;;
ABB;1SDA055023R1;ABB - Kit de terminales 1x300mm2 Serie T5 (6pcs);;;;;95.24;142.86;166.67;190.48;;;;;;;;;;;;;
ABB;1SDA067181R1;ABB - Kit de terminales 1x95..185mm2 Serie XT3;;;;;48.77;73.15;85.34;97.54;;;;;;;;;;;;;
ABB;1SDA066867R1;ABB - Kit de terminales frontales Serie XT1;;;;;11.76;17.64;20.58;23.52;;;;;;;;;;;;;
ABB;1SDA066656R1;ABB - Cubre bornes bajos 4P Serie XT1;;;;;3.28;4.92;5.74;6.56;;;;;;;;;;;;;
